"Province","pop_2021","pop_2016"
"Canada",36991981,35151728
"Newfoundland and Labrador",510550,519716
"Prince Edward Island",154331,142907
"Nova Scotia",969383,923598
"New Brunswick",775610,747101
"Quebec",8501833,8164361
"Ontario",14223942,13448494
"Manitoba",1342153,1278365
"Saskatchewan",1132505,1098352
"Alberta",4262635,4067175
"British Columbia",5000879,4648055
"Yukon",40232,35874
"Northwest Territories",41070,41786
"Nunavut",36858,35944
"Atlantic",2409874,2333322
"Prairies",6737293,6443892
