country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-01,-64,-63,-7,-61,-52,14
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-02,-29,-22,6,-49,-22,9
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-03,-15,7,0,-62,-62,20
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-04,-21,2,-5,-56,-43,17
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-05,-25,1,-13,-56,-43,17
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-06,-28,-3,-14,-58,-44,19
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-07,-32,-8,-21,-58,-41,19
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-08,-29,-3,-14,-51,-15,12
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-09,-33,-21,11,-51,-18,9
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-10,-26,-3,-20,-58,-39,16
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-11,-30,-8,-25,-60,-39,16
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-12,-27,-2,-10,-57,-38,16
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-13,-24,1,3,-56,-38,16
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-14,-28,-4,-14,-56,-36,16
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-15,-28,-4,-16,-53,-15,10
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-16,-29,-17,17,-51,-17,8
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-17,-44,-27,-22,-63,-49,20
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-18,-27,-1,-8,-55,-36,15
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-19,-27,-3,-12,-53,-33,14
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-20,-22,2,-4,-53,-32,14
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-21,-26,-5,-14,-53,-30,15
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-22,-23,-1,6,-47,-11,9
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-23,-23,-8,21,-48,-13,7
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-24,-27,-9,-10,-54,-32,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-25,-24,-2,-2,-53,-31,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-26,-25,-4,-10,-53,-32,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-27,-22,1,-1,-52,-31,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-28,-24,-2,-6,-51,-30,14
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-29,-24,-3,3,-46,-11,8
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-30,-22,-7,10,-47,-11,6
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-01-31,-18,-3,4,-50,-30,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-01,-17,2,9,-49,-29,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-02,-22,-3,-10,-51,-30,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-03,-24,-7,-12,-51,-30,13
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-04,-25,-10,-16,-50,-29,14
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-05,-17,-2,15,-41,-7,7
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-06,-13,-4,36,-43,-8,5
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-07,-18,-3,9,-48,-27,10
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-08,-19,-3,2,-49,-27,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-09,-17,-1,9,-47,-26,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-10,-15,2,2,-47,-26,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-11,-17,-2,1,-46,-25,11
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-12,-10,3,21,-38,-5,5
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-13,-10,3,17,-42,-6,4
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-14,-10,5,-4,-49,-27,10
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-15,-19,-5,2,-48,-26,10
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-16,-16,-3,3,-46,-25,10
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-17,-19,-6,-11,-48,-27,12
CA,Canada,,,,,,ChIJ2WrMN9MDDUsRpY9Doiq3aJk,2022-02-18,-21,-11,-10,-47,-33,14
