date,negative,positive
7/6/2019,5087,1085
7/13/2019,5493,1090
7/20/2019,5034,1009
7/27/2019,4755,983
8/3/2019,4858,915
8/10/2019,4761,1093
8/17/2019,4819,1233
8/24/2019,4668,1347
8/31/2019,4940,1899
9/7/2019,5156,2366
9/14/2019,5782,2659
9/21/2019,5819,2854
9/28/2019,6473,2956
10/5/2019,7678,3117
10/12/2019,8266,3010
10/19/2019,8563,2906
10/26/2019,8674,2912
11/2/2019,9201,2693
11/9/2019,10181,3002
11/16/2019,10407,2823
11/23/2019,11646,2896
11/30/2019,11013,2493
12/7/2019,12959,2710
12/14/2019,13197,2386
12/21/2019,14690,2529
12/28/2019,14833,2292
1/4/2020,16687,2063
1/11/2020,16602,1782
1/18/2020,15965,1679
1/25/2020,16737,1958
2/1/2020,17344,2189
2/8/2020,16465,2390
2/15/2020,16339,2510
2/22/2020,15341,2371
2/29/2020,15506,2481
3/7/2020,17209,2888
3/14/2020,22530,3922
3/21/2020,25779,4361
3/28/2020,18365,2032
4/4/2020,12589,961
4/11/2020,9621,579
4/18/2020,7771,386
4/25/2020,7284,279
5/2/2020,7043,231
5/9/2020,5632,197
5/16/2020,5462,204
5/23/2020,5362,175
5/30/2020,4655,162
6/6/2020,4790,165
6/13/2020,4640,189
6/20/2020,4710,192
6/27/2020,4676,292
7/4/2020,5567,410
7/11/2020,6214,586
7/18/2020,6540,604
7/25/2020,6344,703
8/1/2020,6023,659
8/8/2020,4529,631
8/15/2020,5107,690
8/22/2020,4966,747
8/29/2020,4945,803
9/5/2020,5362,898
9/12/2020,5218,1051
9/19/2020,5609,1257
9/26/2020,5977,1618
10/3/2020,6416,1629
10/10/2020,7460,1937
10/17/2020,7517,2042
10/24/2020,8780,2055
10/31/2020,9613,2075
11/7/2020,10029,2130
11/14/2020,11369,2083
11/21/2020,12038,2017
11/28/2020,11249,1559
12/5/2020,12290,1618
12/12/2020,11595,1373
12/19/2020,10846,1454
12/26/2020,9921,1250
1/2/2021,9724,1353
1/9/2021,11080,1305
1/16/2021,10828,1237
1/23/2021,10752,1405
1/30/2021,10646,1426
2/6/2021,10135,1527
2/13/2021,9720,1595
2/20/2021,8865,1331
2/27/2021,10068,1346
3/6/2021,10105,1453
3/13/2021,9491,1578
3/20/2021,10128,1674
3/27/2021,10627,1869
4/3/2021,10324,1883
4/10/2021,10535,2089
4/17/2021,10610,2191
4/24/2021,10896,2178
5/1/2021,10610,2291
5/8/2021,10536,2186
5/15/2021,10013,2287
5/22/2021,10107,2387
5/29/2021,10263,2289
6/5/2021,9486,2178
6/12/2021,9699,2105
6/19/2021,10279,2328
6/26/2021,9814,2117
7/3/2021,9491,2154
7/10/2021,10788,2319
7/17/2021,11198,2332
7/24/2021,15790,2586
7/31/2021,13002,2829
8/7/2021,13750,2808
8/14/2021,13853,2990
8/21/2021,13950,3194
8/28/2021,15854,4671
9/4/2021,15337,4899
9/11/2021,14580,5003
9/18/2021,15264,5276
9/25/2021,14847,5257
10/2/2021,15233,5839
10/9/2021,15905,6134
10/16/2021,15088,5559
10/23/2021,15916,5575
10/30/2021,15229,5470
11/6/2021,15475,5928
11/13/2021,16629,5894
11/20/2021,16745,5510
11/27/2021,15845,4815
12/4/2021,19312,5042
12/11/2021,19584,4645
12/18/2021,19766,4748
12/25/2021,21149,4245
1/1/2022,25826,3812
1/8/2022,27843,2720
1/15/2022,24880,2062
1/22/2022,19610,1625
1/29/2022,16261,1348
2/5/2022,13399,1493
2/12/2022,12788,1822
2/19/2022,11227,2216
2/26/2022,10856,2476
3/5/2022,10910,2423
3/12/2022,11132,2655
3/19/2022,11472,2669
3/26/2022,11577,2595
4/2/2022,12567,2461
4/9/2022,12459,2512
4/16/2022,12059,2568
4/23/2022,12476,2438
4/30/2022,12816,2799
5/7/2022,13220,2917
5/14/2022,13971,3314
5/21/2022,14244,3374
5/28/2022,14640,3288
6/4/2022,14100,3241
6/11/2022,13747,3006
6/18/2022,13438,2684
6/25/2022,12128,2464
7/2/2022,10829,2045
7/9/2022,12675,2100
7/16/2022,12553,1862
7/23/2022,12833,2178
7/30/2022,12467,2066
8/6/2022,11888,2060
8/13/2022,12276,2358
8/20/2022,11495,3246
8/27/2022,11713,4413
9/3/2022,11745,5462
9/10/2022,12243,5594
9/17/2022,12303,5906
9/24/2022,13139,6316
10/1/2022,13401,5799
10/8/2022,14198,5487
10/15/2022,15073,5487
10/22/2022,16586,5447
10/29/2022,18978,5522
11/5/2022,20703,5905
11/12/2022,22913,5990
11/19/2022,23706,5300
11/26/2022,22999,4417
12/3/2022,26039,4037
12/10/2022,24458,3642
12/17/2022,23067,3522
12/24/2022,19809,3168
12/31/2022,19374,2888
1/7/2023,18760,2298
1/14/2023,17068,2348
1/21/2023,15284,2878
1/28/2023,15212,3518
2/4/2023,15171,3735
2/11/2023,15621,3935
2/18/2023,16033,3661
2/25/2023,15245,3561
3/4/2023,15473,3266
3/11/2023,15397,3481
3/18/2023,15702,3630
3/25/2023,15792,3751
4/1/2023,15012,3616
4/8/2023,14552,3665
4/15/2023,14342,3850
4/22/2023,13405,3396
4/29/2023,13084,3915
5/6/2023,12366,3956
5/13/2023,12267,4167
5/20/2023,12545,4289
5/27/2023,11595,3574
6/3/2023,11513,3468
6/10/2023,11523,2902
6/17/2023,9298,2545
6/24/2023,9855,2326
7/1/2023,9378,1993
7/8/2023,9723,1804
7/15/2023,9888,1765
7/22/2023,9909,1820
7/29/2023,10337,1872
