"State","HHS_region","pop_2020"
"Alabama",4,5033094
"Alaska",10,733017
"Arizona",9,7187135
"Arkansas",6,3014546
"California",9,39521958
"Colorado",8,5787129
"Connecticut",1,3579918
"Delaware",3,991928
"District of Columbia",3,670917
"Florida",4,21592035
"Georgia",4,10732888
"Hawaii",9,1451252
"Idaho",10,1849415
"Illinois",5,12799088
"Indiana",5,6790497
"Iowa",7,3191141
"Kansas",7,2938172
"Kentucky",4,4508318
"Louisiana",6,4652301
"Maine",1,1364571
"Maryland",3,6177935
"Massachusetts",1,6994598
"Michigan",5,10072703
"Minnesota",5,5710735
"Mississippi",4,2958536
"Missouri",7,6154744
"Montana",8,1087230
"Nebraska",7,1963387
"Nevada",9,3116967
"New Hampshire",1,1378756
"New Jersey",2,9272794
"New Mexico",6,2118606
"New York",2,20105171
"North Carolina",4,10449652
"North Dakota",8,779563
"Ohio",5,11798905
"Oklahoma",6,3965415
"Oregon",10,4243779
"Pennsylvania",3,12996143
"Rhode Island",1,1096530
"South Carolina",4,5132249
"South Dakota",8,887948
"Tennessee",4,6927904
"Texas",6,29239570
"Utah",8,3284077
"Vermont",1,642977
"Virginia",3,8637615
"Washington",10,7727209
"West Virginia",3,1791646
"Wisconsin",5,5897375
"Wyoming",8,577681
"Puerto Rico",2,3281590
